epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.68,Bimodal,0.795225,0.5122066494,0.3088217589981551,0.024413298800000094,False
16.0,0.67,Bimodal,0.700125,0.5116752158000001,0.3061944425265633,0.023350431600000165,False
16.0,0.66,Bimodal,0.743215,0.5115724282,0.30471858964283755,0.02314485640000008,False
16.0,0.65,Bimodal,0.158684,0.5102771478,0.28607859501912825,0.020554295599999994,False
16.0,0.64,Bimodal,0.552851,0.5093894017999999,0.2746170821025401,0.018778803599999838,False
16.0,0.63,Bimodal,0.645372,0.5088958652,0.264700929901979,0.017791730399999928,False
16.0,0.62,Bimodal,0.174062,0.508148138,0.2536446340194445,0.016296276000000054,False
16.0,0.61,Bimodal,0.673324,0.5075620634,0.2444113895608124,0.01512412679999997,False
16.0,0.6,Bimodal,0.257815,0.5068508212,0.2312369156537949,0.013701642400000047,False
16.0,0.5900000000000001,Bimodal,0.400809,0.5061587798,0.21877358656615362,0.012317559600000028,False
16.0,0.5800000000000001,Bimodal,0.693473,0.5054987898,0.20717186207441177,0.010997579599999918,False
16.0,0.5700000000000001,Bimodal,0.771863,0.5048497706,0.19612082498424505,0.00969954120000005,False
16.0,0.56,Bimodal,0.248749,0.5043374658,0.1852331683433605,0.008674931600000102,False
16.0,0.55,Bimodal,0.719312,0.5038141204,0.17454999637857302,0.007628240799999908,False
16.0,0.54,Bimodal,0.640979,0.5034335234,0.16399017556562182,0.006867046800000054,False
16.0,0.53,Bimodal,0.641021,0.5030202692000001,0.15355161830103684,0.006040538400000184,False
16.0,0.52,Bimodal,0.663477,0.5025909866,0.14320118815406585,0.005181973200000023,False
16.0,0.51,Bimodal,0.417679,0.5021621021999999,0.13286801129157866,0.004324204399999809,False
16.0,0.5,Bimodal,0.423133,0.5019490373999999,0.1224355262015615,0.0038980747999997067,False
16.0,0.49,Bimodal,0.62947,0.5015597016,0.11184797799738974,0.003119403199999926,False
16.0,0.48,Bimodal,0.410228,0.501320529,0.10088201770084418,0.0026410580000000294,False
16.0,0.47000000000000003,Bimodal,0.531222,0.5009664361999999,0.08934676948402878,0.001932872399999841,False
16.0,0.46,Bimodal,0.570823,0.5007799118,0.07685507467925076,0.0015598236000000654,False
16.0,0.45,Bimodal,0.415319,0.5004919368,0.06273762760776323,0.0009838736000000736,False
15.9,0.95,Bimodal,0.021553,0.5268067354,0.4617076059977485,0.05361347080000001,False
15.9,0.94,Bimodal,1.0,0.5274560856,0.4611984114558628,0.054912171200000026,False
15.9,0.9299999999999999,Bimodal,0.009157,0.5269190806,0.45797146732529365,0.05383816120000007,False
15.9,0.92,Bimodal,0.568485,0.5269537232000001,0.4553141297481696,0.053907446400000225,False
15.9,0.91,Bimodal,0.148039,0.5257827372,0.454555079404351,0.05156547440000003,False
15.9,0.9,Bimodal,0.068306,0.525290454,0.44995106943149765,0.050580907999999924,False
15.9,0.89,Bimodal,0.012845,0.5260695477999999,0.45025225469933994,0.05213909559999985,False
15.9,0.88,Bimodal,0.764556,0.5247795316,0.44552267318849037,0.04955906320000003,False
15.9,0.87,Bimodal,1.0,0.5248176428,0.4438305650016528,0.04963528559999997,False
15.9,0.8600000000000001,Bimodal,0.027002,0.5244704062,0.43869338794522555,0.04894081239999992,False
15.9,0.8500000000000001,Bimodal,1.0,0.5245685250000001,0.44034430486828846,0.049137050000000126,False
15.9,0.8400000000000001,Bimodal,0.800545,0.5235292706,0.4343478144320952,0.04705854119999997,False
15.9,0.8300000000000001,Bimodal,1.0,0.5238324032,0.43308006502503377,0.04766480640000004,False
15.9,0.8200000000000001,Bimodal,0.082504,0.5229296908000001,0.42856076030770046,0.04585938160000014,False
15.9,0.81,Bimodal,0.942025,0.5224594817999999,0.4241308439992823,0.044918963599999806,False
