epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
15.9,0.95,Uniform,1.0,0.5294033955999999,0.4786661233429451,0.058806791199999875,False
15.9,0.94,Uniform,0.015473,0.528888492,0.47759181146571783,0.057776983999999976,False
15.9,0.9299999999999999,Uniform,0.001754,0.5298566924,0.47535763248949836,0.05971338479999999,False
15.9,0.92,Uniform,0.001417,0.5299503957999999,0.47462486390923864,0.059900791599999836,False
15.9,0.91,Uniform,0.006121,0.5289256031999999,0.47214928228623965,0.057851206399999855,False
15.9,0.9,Uniform,0.060706,0.527766201,0.47117788646149794,0.05553240200000009,False
15.9,0.89,Uniform,1.0,0.5295659326000001,0.47223899246396706,0.05913186520000013,False
15.9,0.88,Uniform,1.0,0.5277920084000001,0.466841121840233,0.055584016800000136,False
15.9,0.87,Uniform,0.011646,0.527922208,0.46499819975261214,0.05584441600000001,False
15.9,0.8600000000000001,Uniform,0.004027,0.5281660906,0.4622100248722757,0.05633218119999994,False
15.9,0.8500000000000001,Uniform,0.075432,0.5264272362,0.4599171730478531,0.05285447239999996,False
15.9,0.8400000000000001,Uniform,1.0,0.5270762634,0.4574652062469505,0.054152526800000045,False
15.9,0.8300000000000001,Uniform,1.0,0.5260612060000001,0.4565892527924812,0.05212241200000012,False
15.9,0.8200000000000001,Uniform,1.0,0.5264031738,0.45371947806111784,0.052806347600000025,False
15.9,0.81,Uniform,1.0,0.5257958824,0.4491498859442029,0.05159176479999994,False
15.9,0.8,Uniform,0.053534,0.525227498,0.4475258514786724,0.05045499600000003,False
15.9,0.79,Uniform,1.0,0.5258315259999999,0.44569841162940427,0.051663051999999876,False
15.9,0.78,Uniform,1.0,0.5248716094,0.4406857271625517,0.04974321879999999,False
15.9,0.77,Uniform,0.040971,0.5250008278,0.4437883068676833,0.05000165560000003,False
15.9,0.76,Uniform,1.0,0.5239859957999999,0.43465202087260324,0.047971991599999875,False
15.9,0.75,Uniform,1.0,0.5236598672,0.4322746882778471,0.047319734400000035,False
15.9,0.74,Uniform,1.0,0.5232280133999999,0.42868289017205724,0.04645602679999983,False
