epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
15.9,0.76,Spike,0.0,0.5599536988,0.4885370925336879,0.11990739760000002,False
15.9,0.75,Spike,0.0,0.5523101001999999,0.489116214522503,0.10462020039999986,False
15.9,0.74,Spike,0.0,0.540604553,0.4897082321552662,0.08120910599999998,False
15.9,0.73,Spike,1.0,0.5330839558,0.4895220244374316,0.06616791160000002,False
15.9,0.72,Spike,1.0,0.5482550004,0.48783909554847843,0.09651000079999994,False
15.9,0.71,Spike,1.0,0.5332516568000001,0.48818241821367064,0.06650331360000017,False
15.9,0.7,Spike,1.7e-05,0.5346078908,0.4875346020158137,0.06921578160000008,False
15.9,0.69,Spike,0.0,0.5369242396,0.48635767303115285,0.07384847920000004,False
15.9,0.68,Spike,0.003351,0.5315933296,0.48577053873577647,0.0631866592000001,False
15.9,0.67,Spike,1.0,0.5364213900000001,0.4840098233293706,0.07284278000000022,False
15.9,0.66,Spike,0.144264,0.529309566,0.4831759809369205,0.05861913200000002,False
15.9,0.65,Spike,0.00019,0.5326144498,0.4813835869321153,0.06522889959999989,False
15.9,0.64,Spike,0.033251,0.529756831,0.4804823681636812,0.05951366200000008,False
15.9,0.63,Spike,1.0,0.531281084,0.4776200283415698,0.06256216799999992,False
15.9,0.62,Spike,0.01795,0.5296152174,0.476570068571704,0.0592304347999999,False
15.9,0.61,Spike,0.017706,0.529314245,0.4739627537366426,0.05862849000000003,False
15.9,0.6,Spike,1.0,0.5283842263999999,0.47054716444646616,0.05676845279999987,False
15.9,0.5900000000000001,Spike,0.001502,0.5299684368,0.4684121773776835,0.05993687360000011,False
15.9,0.5800000000000001,Spike,1.0,0.5307674588,0.465094110272414,0.06153491759999996,False
15.9,0.5700000000000001,Spike,0.003543,0.5287215018,0.4617360606919358,0.05744300359999999,False
15.9,0.56,Spike,0.304955,0.5260720756,0.4585672165116012,0.052144151200000044,False
15.9,0.55,Spike,0.055145,0.5263505723999999,0.4539486051671773,0.05270114479999988,False
15.9,0.54,Spike,1.0,0.5258598214,0.44991336937746146,0.051719642799999965,False
15.9,0.53,Spike,1.0,0.5257489212,0.4488011987571202,0.051497842400000104,False
15.9,0.52,Spike,1.0,0.5244643309999999,0.4402079501180401,0.04892866199999979,False
15.9,0.51,Spike,0.026374,0.5245329773999999,0.43452288542817746,0.04906595479999987,False
15.9,0.5,Spike,1.0,0.5242181526,0.4302319654878387,0.048436305200000085,False
15.9,0.49,Spike,0.088102,0.5227297524,0.4238602471029779,0.04545950479999994,False
15.9,0.48,Spike,1.0,0.5218799834,0.41790496842742364,0.04375996679999994,False
15.9,0.47000000000000003,Spike,1.0,0.5222331241999999,0.4124023724520876,0.0444662483999998,False
15.9,0.46,Spike,0.047615,0.5210088117999999,0.40436321260274116,0.04201762359999983,False
15.9,0.45,Spike,0.049912,0.5201896482,0.3967138443224409,0.04037929640000004,False
15.8,0.95,Spike,1.0,0.9196978805999999,0.2612821031271144,0.8393957611999998,False
15.8,0.94,Spike,1.0,0.8811920816,0.3148082442520652,0.7623841631999999,False
15.8,0.9299999999999999,Spike,1.0,0.841649467,0.3573696969936197,0.683298934,False
15.8,0.92,Spike,1.0,0.8012840552,0.3919541454383078,0.6025681104,False
15.8,0.91,Spike,1.0,0.7711767617999999,0.41339150334944497,0.5423535235999999,False
15.8,0.9,Spike,1.0,0.757701007,0.4219087353775625,0.515402014,False
15.8,0.89,Spike,0.0,0.6793707882,0.4607130012427509,0.35874157639999993,False
15.8,0.88,Spike,0.0,0.6218670408,0.47914023910054915,0.24373408159999999,False
15.8,0.87,Spike,0.0,0.5497810914,0.4918423030398582,0.09956218279999995,False
15.8,0.8600000000000001,Spike,1.0,0.5666669886,0.4895946307684094,0.13333397719999995,False
15.8,0.8500000000000001,Spike,1.0,0.6243739954,0.4782252272037473,0.2487479908000001,False
15.8,0.8400000000000001,Spike,0.0,0.5657935951999999,0.4897079688930014,0.1315871903999999,False
15.8,0.8300000000000001,Spike,1.0,0.5479881878,0.49147137092328175,0.09597637560000005,False
15.8,0.8200000000000001,Spike,0.0,0.5915104122000001,0.48521559439307216,0.18302082440000023,False
15.8,0.81,Spike,1.0,0.5420056098000001,0.4916305948704434,0.08401121960000024,False
15.8,0.8,Spike,0.0,0.5640942448,0.4892037136296312,0.12818848960000007,False
15.8,0.79,Spike,1.0,0.5561816394,0.4898408426877334,0.11236327879999997,False
15.8,0.78,Spike,1.0,0.5424442648,0.49094216088667747,0.08488852959999993,False
15.8,0.77,Spike,0.00065,0.5330407186,0.49156930792355363,0.06608143720000004,False
15.8,0.76,Spike,0.0,0.5378139432,0.49081092369194784,0.07562788639999996,False
15.8,0.75,Spike,0.000417,0.5332130454,0.4907238417093453,0.06642609080000006,False
15.8,0.74,Spike,1.0,0.5357062847999999,0.489803417626488,0.07141256959999986,False
15.8,0.73,Spike,1.0,0.5503418126,0.48809163164305525,0.10068362520000007,False
