lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
15.8,0.91,Uniform,0.5,0.5000063652,0.007402175239230926,1.2730399999938413e-05,True
15.8,0.9,Uniform,0.5,0.5000069502000001,0.007722032846859532,1.3900400000155244e-05,True
15.8,0.89,Uniform,0.5,0.5000077606,0.008151508091323976,1.552119999992385e-05,True
15.8,0.88,Uniform,0.5,0.5000087888,0.0086743651744223,1.7577599999984983e-05,True
15.8,0.87,Uniform,0.5,0.5000100314,0.009274839521762354,2.006279999999805e-05,True
15.8,0.8600000000000001,Uniform,0.5,0.5000114794,0.009938893359756859,2.2958800000028035e-05,True
15.8,0.8500000000000001,Uniform,0.5,0.5000122292,0.010268099818771,2.445839999998256e-05,True
15.8,0.8400000000000001,Uniform,0.5,0.5000124662000001,0.010359782670570548,2.4932400000121646e-05,True
15.8,0.8300000000000001,Uniform,0.5,0.5000129339999999,0.010542109896764455,2.5867999999817926e-05,True
15.8,0.8200000000000001,Uniform,0.5,0.5000136284,0.010810455935945627,2.7256799999930692e-05,True
15.8,0.81,Uniform,0.5,0.5000145402,0.01115858894248827,2.9080400000047746e-05,True
15.8,0.8,Uniform,0.5,0.5000156624000001,0.01157927724899737,3.1324800000120945e-05,True
15.8,0.79,Uniform,0.5,0.5000169902,0.012064898345917525,3.3980400000022115e-05,True
15.8,0.78,Uniform,0.5,0.5000185182,0.012607905103905668,3.7036399999967884e-05,True
15.8,0.77,Uniform,0.5,0.5000190952,0.012808195668625387,3.819039999997109e-05,True
15.8,0.76,Uniform,0.5,0.5000193018,0.012871637450303173,3.8603599999964544e-05,True
15.8,0.75,Uniform,0.5,0.5000197334,0.013005272860880757,3.9466800000109714e-05,True
15.8,0.74,Uniform,0.5,0.5000203836,0.013206920791880735,4.076720000001366e-05,True
15.8,0.73,Uniform,0.5,0.5000212454,0.013473466049649475,4.2490800000072326e-05,True
15.8,0.72,Uniform,0.5,0.5000223124000001,0.01380110831783326,4.462480000011482e-05,True
15.8,0.71,Uniform,0.5,0.5000235789999999,0.014185553988172239,4.715799999988057e-05,True
15.8,0.7,Uniform,0.5,0.5000250375999999,0.014622280940885012,5.00751999998883e-05,True
15.8,0.69,Uniform,0.5,0.5000266837999999,0.015106707398155969,5.3367599999853965e-05,True
15.8,0.68,Uniform,0.5,0.5000267330000001,0.015120987136761577,5.3466000000224057e-05,True
15.8,0.67,Uniform,0.5,0.5000269412,0.015173881068424067,5.388240000003819e-05,True
15.8,0.66,Uniform,0.5,0.500027363,0.015282867228585623,5.4725999999893915e-05,True
15.8,0.65,Uniform,0.5,0.5000279931999999,0.015446703179545374,5.5986399999818914e-05,True
15.8,0.64,Uniform,0.5,0.5000288252,0.015663618934290656,5.765040000005328e-05,True
15.8,0.63,Uniform,0.5,0.5000298552,0.01593139805958848,5.971039999996819e-05,True
15.8,0.62,Uniform,0.5,0.500031073,0.016247487296710293,6.214600000009618e-05,True
15.8,0.61,Uniform,0.5,0.5000324778,0.01660906997074086,6.495560000008282e-05,True
15.8,0.6,Uniform,0.5,0.50003406,0.017013215298801128,6.811999999989382e-05,True
15.8,0.5900000000000001,Uniform,0.5,0.5000353208,0.01733349303432062,7.064160000003206e-05,True
15.8,0.5800000000000001,Uniform,0.5,0.5000352982,0.017328209111303967,7.059640000006695e-05,True
15.8,0.5700000000000001,Uniform,0.5,0.5000354858,0.017368946039409024,7.097160000002489e-05,True
15.8,0.56,Uniform,0.5,0.500035876,0.017455343100414113,7.17519999999805e-05,True
15.8,0.55,Uniform,0.5,0.5000364672,0.017586693576335313,7.293439999989104e-05,True
15.8,0.54,Uniform,0.5,0.5000372474,0.01776196744287303,7.44947999999912e-05,True
15.8,0.53,Uniform,0.5,0.5000382142,0.01797984511973405,7.642840000010587e-05,True
15.8,0.52,Uniform,0.5,0.5000393630000001,0.01823877128008333,7.872600000013996e-05,True
15.8,0.51,Uniform,0.5,0.5000406874000001,0.018537003394752147,8.137480000014463e-05,True
15.8,0.5,Uniform,0.5,0.5000421822000001,0.01887263861650175,8.436440000014755e-05,True
15.8,0.49,Uniform,0.5,0.5000438464,0.01924369522126041,8.769279999998325e-05,True
15.8,0.48,Uniform,0.5,0.5000450288,0.019508629911600045,9.005760000002638e-05,True
15.8,0.47000000000000003,Uniform,0.5,0.5000449378,0.01949103655957693,8.987560000006667e-05,True
15.8,0.46,Uniform,0.5,0.5000450484,0.01951131133345085,9.009679999993914e-05,True
15.8,0.45,Uniform,0.5,0.5000453514,0.019569322972883895,9.070279999989772e-05,True
15.700000000000001,0.95,Uniform,0.5,0.5000029582,0.004999903584112682,5.916399999916777e-06,True
15.700000000000001,0.94,Uniform,0.5,0.5000042180000001,0.006001135245378383,8.436000000111576e-06,True
15.700000000000001,0.9299999999999999,Uniform,0.5,0.500005682,0.007002695021032083,1.1363999999902674e-05,True
15.700000000000001,0.92,Uniform,0.5,0.500006015,0.007206887158272799,1.20299999999407e-05,True
15.700000000000001,0.91,Uniform,0.5,0.500006367,0.007402644478682367,1.2734000000014234e-05,True
15.700000000000001,0.9,Uniform,0.5,0.50000695,0.00772258715161978,1.3899999999900103e-05,True
15.700000000000001,0.89,Uniform,0.5,0.500007761,0.008152135435375834,1.5521999999990044e-05,True
15.700000000000001,0.88,Uniform,0.5,0.5000087904,0.008675061235423963,1.7580800000027708e-05,True
15.700000000000001,0.87,Uniform,0.5,0.5000100332,0.009275591535431268,2.006640000007387e-05,True
15.700000000000001,0.8600000000000001,Uniform,0.5,0.500011481,0.009939697624204226,2.296200000007076e-05,True
15.700000000000001,0.8500000000000001,Uniform,0.5,0.5000122316,0.010268983368875786,2.4463199999935625e-05,True
15.700000000000001,0.8400000000000001,Uniform,0.5,0.5000124682,0.010360775227020887,2.493640000000852e-05,True
15.700000000000001,0.8300000000000001,Uniform,0.5,0.5000129376,0.010543196793887192,2.5875199999969567e-05,True
15.700000000000001,0.8200000000000001,Uniform,0.5,0.5000136318,0.010811632191873678,2.7263600000049237e-05,True
15.700000000000001,0.81,Uniform,0.5,0.5000145415999999,0.01115984553846324,2.908319999983533e-05,True
15.700000000000001,0.8,Uniform,0.5,0.500015666,0.01158060235949088,3.133200000005054e-05,True
15.700000000000001,0.79,Uniform,0.5,0.5000169952,0.012066278510103834,3.399039999996134e-05,True
15.700000000000001,0.78,Uniform,0.5,0.5000185228,0.012609331454546917,3.704560000006296e-05,True
15.700000000000001,0.77,Uniform,0.5,0.5000191002,0.01280967756562307,3.820039999991032e-05,True
15.700000000000001,0.76,Uniform,0.5,0.5000193062,0.01287317997155938,3.8612400000026526e-05,True
15.700000000000001,0.75,Uniform,0.5,0.5000197388000001,0.013006869887772003,3.947760000011513e-05,True
15.700000000000001,0.74,Uniform,0.5,0.5000203891999999,0.013208562111264525,4.077839999983013e-05,True
15.700000000000001,0.73,Uniform,0.5,0.5000212509999999,0.013475156347505469,4.2501999999888795e-05,True
15.700000000000001,0.72,Uniform,0.5,0.5000223182,0.013802828443444357,4.463639999996438e-05,True
15.700000000000001,0.71,Uniform,0.5,0.5000235843999999,0.01418730217169772,4.716879999988599e-05,True
