epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.66,Spike,1.0,0.5248441366,0.44194501975155487,0.04968827319999991,False
16.0,0.65,Spike,1.0,0.524170036,0.4354854309866086,0.04834007200000001,False
16.0,0.64,Spike,0.033987,0.524363723,0.4355918532681025,0.04872744600000001,False
16.0,0.63,Spike,0.265151,0.5232092112000001,0.4317956971373428,0.04641842240000016,False
16.0,0.62,Spike,0.192189,0.5226199684000001,0.4261934579948577,0.04523993680000027,False
16.0,0.61,Spike,0.186735,0.5221631976000001,0.42243595583453847,0.044326395200000146,False
16.0,0.6,Spike,0.186782,0.5216877246,0.41819153761827393,0.04337544920000003,False
16.0,0.5900000000000001,Spike,0.053929,0.5215932214000001,0.41153626952626166,0.04318644280000017,False
16.0,0.5800000000000001,Spike,0.951751,0.520544022,0.40731317165621894,0.0410880440000001,False
16.0,0.5700000000000001,Spike,0.130069,0.520162989,0.40258076006250293,0.04032597800000004,False
16.0,0.56,Spike,0.141057,0.5193350034,0.3945140525026623,0.0386700068000001,False
16.0,0.55,Spike,0.406929,0.5192402044000001,0.38906221115315237,0.03848040880000014,False
16.0,0.54,Spike,0.442901,0.5179910052,0.38385346507733276,0.03598201039999993,False
16.0,0.53,Spike,1.0,0.5174405994,0.37436204084860497,0.03488119879999996,False
16.0,0.52,Spike,1.0,0.516649916,0.3667215382477406,0.033299831999999974,False
16.0,0.51,Spike,1.0,0.5164611946000001,0.36469003282920487,0.032922389200000124,False
16.0,0.5,Spike,0.273488,0.5145914102000001,0.3465850101519989,0.029182820400000198,False
16.0,0.49,Spike,0.229766,0.5138984726000001,0.3334965584381921,0.0277969452000002,False
16.0,0.48,Spike,0.184453,0.512393655,0.31747372925866585,0.024787310000000007,False
16.0,0.47000000000000003,Spike,0.84051,0.5107777365999999,0.29799999325409104,0.02155547319999984,False
16.0,0.46,Spike,0.791811,0.5097486578,0.2787075968784451,0.01949731560000001,False
16.0,0.45,Spike,0.256176,0.5082367287999999,0.2595519229708392,0.016473457599999852,False
15.9,0.95,Spike,1.0,0.5296501487999999,0.4707031195903119,0.059300297599999885,False
15.9,0.94,Spike,1.0,0.5302879252,0.47124540698598244,0.06057585040000002,False
15.9,0.9299999999999999,Spike,0.001,0.5296814286,0.47148448240647167,0.05936285720000001,False
15.9,0.92,Spike,0.003965,0.529271047,0.4717126454700752,0.0585420940000001,False
15.9,0.91,Spike,1.0,0.5291483335999999,0.47175788741394903,0.05829666719999982,False
15.9,0.9,Spike,1.0,0.5294827428000001,0.4717823026579425,0.058965485600000145,False
15.9,0.89,Spike,1.0,0.5294920475999999,0.4711464477315368,0.05898409519999981,False
15.9,0.88,Spike,1.0,0.5297808304,0.4725448149932053,0.05956166080000003,False
15.9,0.87,Spike,1.0,0.5297611282,0.47137511253684744,0.05952225639999997,False
15.9,0.8600000000000001,Spike,1.0,0.5288590158,0.47119639097445415,0.05771803160000011,False
15.9,0.8500000000000001,Spike,1.0,0.5297610462,0.4706191246769285,0.05952209239999995,False
15.9,0.8400000000000001,Spike,0.003074,0.5293475061999999,0.47021637865650506,0.05869501239999986,False
15.9,0.8300000000000001,Spike,1.0,0.5292415374,0.4707561176732257,0.058483074800000034,False
15.9,0.8200000000000001,Spike,1.0,0.5292297958,0.469830705600849,0.058459591599999916,False
15.9,0.81,Spike,1.0,0.5293893991999999,0.47065000222247894,0.05877879839999989,False
15.9,0.8,Spike,0.068609,0.5277941546,0.46500624685416625,0.05558830920000002,False
15.9,0.79,Spike,0.008222,0.5282974483999999,0.46447026421674364,0.05659489679999985,False
15.9,0.78,Spike,0.012125,0.5278906494,0.4626909585023741,0.055781298799999934,False
15.9,0.77,Spike,0.013582,0.5277866454,0.46222084283881376,0.05557329079999995,False
15.9,0.76,Spike,0.00576,0.5281270339999999,0.4610093558526178,0.05625406799999988,False
15.9,0.75,Spike,1.0,0.5272664386,0.45989062732131675,0.054532877199999996,False
15.9,0.74,Spike,1.0,0.5267588204,0.45887644763573765,0.05351764079999999,False
15.9,0.73,Spike,1.0,0.527203067,0.4611963704037009,0.05440613399999994,False
15.9,0.72,Spike,1.0,0.5274085154,0.4562853020846653,0.0548170308,False
15.9,0.71,Spike,0.058773,0.5260266168,0.45256565538395266,0.052053233599999915,False
15.9,0.7,Spike,0.012871,0.5265342666,0.45044140305870217,0.053068533200000045,False
15.9,0.69,Spike,1.0,0.5258064668,0.4473538177164317,0.051612933599999966,False
15.9,0.68,Spike,1.0,0.5259566176,0.44854197700505993,0.05191323520000002,False
15.9,0.67,Spike,0.03828,0.5253119508,0.4445927297506078,0.050623901600000076,False
15.9,0.66,Spike,1.0,0.5250607844,0.4408348854003302,0.05012156880000007,False
15.9,0.65,Spike,1.0,0.5241276878,0.4343399534824331,0.04825537559999993,False
15.9,0.64,Spike,0.03051,0.5242843899999999,0.43435037046816743,0.04856877999999987,False
15.9,0.63,Spike,1.0,0.5240588396,0.4318204693966365,0.048117679199999985,False
15.9,0.62,Spike,0.208862,0.5221648694,0.42216097877477066,0.04432973879999991,False
15.9,0.61,Spike,1.0,0.5221808342,0.42204508802738544,0.04436166840000011,False
15.9,0.6,Spike,1.0,0.5223259478,0.4186908896854057,0.044651895599999936,False
15.9,0.5900000000000001,Spike,0.080318,0.5211810332,0.40994985112636273,0.042362066399999954,False
15.9,0.5800000000000001,Spike,1.0,0.520862889,0.40748021040802107,0.04172577799999999,False
15.9,0.5700000000000001,Spike,1.0,0.5203843662000001,0.40549382849802645,0.04076873240000012,False
15.9,0.56,Spike,0.640809,0.5190427722000001,0.39364604597159375,0.038085544400000115,False
15.9,0.55,Spike,0.201353,0.5185339834,0.38808198177429565,0.03706796680000002,False
15.9,0.54,Spike,0.466818,0.5185296326,0.38948144500561815,0.03705926519999991,False
15.9,0.53,Spike,0.114744,0.5175562061999999,0.3731423973512416,0.03511241239999974,False
15.9,0.52,Spike,1.0,0.51689017,0.36612984102019025,0.033780340000000075,False
15.9,0.51,Spike,1.0,0.5159030854,0.3567143861228345,0.03180617079999992,False
15.9,0.5,Spike,0.425218,0.5143553498,0.34444551016657576,0.028710699599999945,False
15.9,0.49,Spike,0.218934,0.5136376523999999,0.33061465815514257,0.027275304799999844,False
15.9,0.48,Spike,0.200937,0.512259453,0.31427870528393675,0.02451890599999995,False
15.9,0.47000000000000003,Spike,0.212762,0.5106527788,0.2950662973319476,0.02130555760000008,False
15.9,0.46,Spike,0.268401,0.5091855900000001,0.2749415864291307,0.018371180000000153,False
15.9,0.45,Spike,0.741711,0.5079584381999999,0.2558695866432765,0.015916876399999724,False
15.8,0.95,Spike,0.001114,0.5296093618,0.47245585921736677,0.05921872359999991,False
15.8,0.94,Spike,0.015314,0.5292422410000001,0.4719538789453186,0.058484482000000115,False
15.8,0.9299999999999999,Spike,0.233056,0.5290223114,0.4716315837374921,0.0580446228,False
15.8,0.92,Spike,1.0,0.5292387296,0.4726476640657108,0.058477459199999915,False
15.8,0.91,Spike,1.0,0.5294513612,0.472762077245457,0.05890272240000005,False
15.8,0.9,Spike,1.0,0.5296444736,0.4727412478258449,0.0592889472,False
15.8,0.89,Spike,1.0,0.5296512605999999,0.4718694034016705,0.05930252119999979,False
15.8,0.88,Spike,0.006075,0.5290640306,0.4713900881365245,0.058128061199999914,False
15.8,0.87,Spike,1.0,0.5289621056,0.47084590587539993,0.05792421120000002,False
15.8,0.8600000000000001,Spike,0.413602,0.5298483185999999,0.4710497709103203,0.05969663719999985,False
15.8,0.8500000000000001,Spike,0.006018,0.529032195,0.47085583041119905,0.058064389999999966,False
15.8,0.8400000000000001,Spike,1.0,0.5291969,0.47107149034002627,0.05839379999999994,False
15.8,0.8300000000000001,Spike,1.0,0.5292949756,0.4701317481406281,0.0585899512000001,False
15.8,0.8200000000000001,Spike,1.0,0.5296078628,0.4723118573847356,0.0592157256000001,False
