epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
15.9,0.8,Spike,0.000162,0.5324051505999999,0.48143589383059177,0.06481030119999986,False
15.9,0.79,Spike,0.00213,0.5308783028,0.4801067392202939,0.06175660560000007,False
15.9,0.78,Spike,1.0,0.5321244077999999,0.4786333154256555,0.06424881559999984,False
15.9,0.77,Spike,0.044687,0.5289750176000001,0.4774991546311771,0.057950035200000194,False
15.9,0.76,Spike,1.0,0.5296200654000001,0.47628504664360305,0.059240130800000124,False
15.9,0.75,Spike,0.001127,0.5305002782,0.4737475611459495,0.06100055640000002,False
15.9,0.74,Spike,1.0,0.5291291302,0.4705105928004537,0.05825826039999993,False
15.9,0.73,Spike,1.0,0.5278315104,0.46937719705335856,0.05566302079999996,False
15.9,0.72,Spike,0.025041,0.5280432972000001,0.46671944340984667,0.05608659440000019,False
15.9,0.71,Spike,0.022092,0.5278322464,0.46427851312495005,0.055664492800000076,False
15.9,0.7,Spike,0.030618,0.527396191,0.46211491284252665,0.05479238200000003,False
15.9,0.69,Spike,1.0,0.5269045222000001,0.4570309766308362,0.05380904440000012,False
15.9,0.68,Spike,0.21314,0.525757797,0.4558527262799142,0.05151559400000005,False
15.9,0.67,Spike,1.0,0.5257414572,0.4493526684494756,0.05148291439999997,False
15.9,0.66,Spike,1.0,0.5255421746,0.4478745180729798,0.051084349199999934,False
15.9,0.65,Spike,1.0,0.5247652776,0.446156011492549,0.04953055520000005,False
15.9,0.64,Spike,0.138238,0.5244040918,0.44273292679178194,0.048808183600000055,False
15.9,0.63,Spike,1.0,0.5239551834,0.4367110189895936,0.04791036680000005,False
15.9,0.62,Spike,0.045349,0.523853376,0.4322655546440773,0.047706752000000074,False
15.9,0.61,Spike,0.036431,0.5235372302,0.4286665124197131,0.04707446039999996,False
15.9,0.6,Spike,0.084041,0.5227380476,0.4252435534485851,0.045476095199999955,False
15.9,0.5900000000000001,Spike,0.034922,0.5224531728,0.41825504313277195,0.044906345600000064,False
15.9,0.5800000000000001,Spike,1.0,0.5218456572,0.41417737749390376,0.04369131439999996,False
15.9,0.5700000000000001,Spike,1.0,0.52088664,0.4091554393343412,0.04177327999999991,False
15.9,0.56,Spike,1.0,0.5203953934,0.4036669664939126,0.04079078679999992,False
15.9,0.55,Spike,1.0,0.5203372402,0.3994443504343754,0.0406744804000001,False
15.9,0.54,Spike,0.077732,0.5194902806,0.3933560988083147,0.03898056120000004,False
15.9,0.53,Spike,1.0,0.5188840022000001,0.38861665107244636,0.037768004400000166,False
15.9,0.52,Spike,1.0,0.5178989996000001,0.3812734841304244,0.03579799920000015,False
15.9,0.51,Spike,0.803536,0.5169711384,0.37252036925144794,0.03394227679999995,False
15.9,0.5,Spike,1.0,0.5170042149999999,0.3710084280991084,0.03400842999999987,False
15.9,0.49,Spike,1.0,0.5167642962,0.3653176216775809,0.033528592399999946,False
15.9,0.48,Spike,1.0,0.516101503,0.3605382343514144,0.032203006000000034,False
15.9,0.47000000000000003,Spike,0.475983,0.5150225694,0.35227800005223847,0.030045138800000037,False
15.9,0.46,Spike,1.0,0.5148776352,0.3461307806595434,0.029755270399999922,False
15.9,0.45,Spike,0.252966,0.5140947889999999,0.34041960261001997,0.028189577999999882,False
15.8,0.95,Spike,0.02463,0.530347437,0.4918667451546219,0.060694873999999954,False
15.8,0.94,Spike,1.0,0.5417179376,0.4909431336653302,0.08343587519999995,False
15.8,0.9299999999999999,Spike,1e-06,0.5357098646,0.4909968976586952,0.07141972920000006,False
15.8,0.92,Spike,1.0,0.5398602336,0.49034609825418585,0.07972046720000003,False
15.8,0.91,Spike,5e-06,0.5350143748,0.49021934589788646,0.07002874960000005,False
15.8,0.9,Spike,8e-06,0.5347433074,0.489898182311398,0.06948661479999996,False
15.8,0.89,Spike,1.6e-05,0.534372619,0.48953672351285415,0.06874523799999999,False
15.8,0.88,Spike,5.3e-05,0.5336991904,0.48895816027373856,0.06739838080000005,False
15.8,0.87,Spike,0.002131,0.531678261,0.4883036547816155,0.06335652200000008,False
15.8,0.8600000000000001,Spike,1.0,0.5360120532000001,0.48734036174077583,0.07202410640000023,False
15.8,0.8500000000000001,Spike,1.0,0.5326046892,0.4866948170274206,0.06520937840000007,False
15.8,0.8400000000000001,Spike,0.0081,0.5307958869999999,0.486146836285858,0.06159177399999982,False
15.8,0.8300000000000001,Spike,1.0,0.5329300892000001,0.4846028344131667,0.06586017840000014,False
