epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.46,Spike,0.021782,0.5254483858000001,0.4410851083941356,0.05089677160000017,False
16.0,0.45,Spike,1.0,0.5258633542000001,0.43650003996884634,0.051726708400000154,False
15.9,0.95,Spike,0.0,0.584421558,0.48705912318241046,0.1688431159999999,False
15.9,0.94,Spike,1.0,0.9879076754,0.07955172375058615,0.9758153508,False
15.9,0.9299999999999999,Spike,1.0,0.9878778664,0.07988732202944569,0.9757557327999999,False
15.9,0.92,Spike,1.0,0.9878458948,0.0801384281806549,0.9756917895999999,False
15.9,0.91,Spike,1.0,0.987824833,0.0803285699272508,0.975649666,False
15.9,0.9,Spike,1.0,0.9878135190000001,0.08046765430296973,0.9756270380000003,False
15.9,0.89,Spike,1.0,0.9878093968000001,0.0805655000332653,0.9756187936000003,False
15.9,0.88,Spike,1.0,0.9878105658,0.08063246913900851,0.9756211316000001,False
15.9,0.87,Spike,1.0,0.9878156202,0.08067790595107983,0.9756312404,False
15.9,0.8600000000000001,Spike,1.0,0.9878168246000001,0.08071004052213859,0.9756336492000002,False
15.9,0.8500000000000001,Spike,1.0,0.9877962908,0.08072764809050416,0.9755925816,False
15.9,0.8400000000000001,Spike,1.0,0.9877818520000001,0.08074136307129462,0.9755637040000003,False
15.9,0.8300000000000001,Spike,1.0,0.9877747660000001,0.08076197917721537,0.9755495320000003,False
15.9,0.8200000000000001,Spike,1.0,0.9877731385999999,0.0807806427387951,0.9755462771999999,False
15.9,0.81,Spike,1.0,0.9877755691999999,0.08079512110124204,0.9755511383999997,False
15.9,0.8,Spike,0.0,0.8815829666,0.31443750794627756,0.7631659332,False
15.9,0.79,Spike,0.0,0.7355920744000001,0.4347397040401944,0.47118414880000015,False
15.9,0.78,Spike,0.0,0.6144830896000001,0.48099602898178695,0.22896617920000017,False
15.9,0.77,Spike,1.0,0.5364252028,0.49274812352692804,0.07285040559999989,False
15.9,0.76,Spike,1.0,0.6058013327999999,0.4826087822024604,0.21160266559999985,False
15.9,0.75,Spike,1.0,0.6660056214,0.4652809699640153,0.33201124279999994,False
15.9,0.74,Spike,0.0,0.6126872406,0.48096241249949356,0.22537448120000003,False
15.9,0.73,Spike,1.0,0.5395755019999999,0.4920086108360972,0.07915100399999986,False
15.9,0.72,Spike,1.0,0.6108323760000001,0.48096948560588604,0.22166475200000013,False
15.9,0.71,Spike,0.0,0.5521753389999999,0.4907116034232683,0.10435067799999986,False
15.9,0.7,Spike,1.0,0.5826657646,0.4861087469252972,0.16533152919999994,False
15.9,0.69,Spike,0.002538,0.5325231222000001,0.49194716738025107,0.06504624440000017,False
15.9,0.68,Spike,0.0,0.5665764263999999,0.4879764614289402,0.1331528527999999,False
15.9,0.67,Spike,1.0,0.5689077424,0.4870812549862315,0.13781548479999994,False
15.9,0.66,Spike,1.0,0.5562548958,0.48818982278160983,0.11250979159999996,False
15.9,0.65,Spike,1.0,0.5537643052,0.48785461654457063,0.10752861039999995,False
15.9,0.64,Spike,0.0,0.5556537652,0.4869607136799419,0.11130753039999997,False
15.9,0.63,Spike,0.00012,0.5337956996,0.4884357187777345,0.0675913991999999,False
15.9,0.62,Spike,1.0,0.5461483016,0.4861585950345873,0.0922966032000001,False
15.9,0.61,Spike,1.0,0.5323139126,0.4859601001234535,0.0646278252000001,False
15.9,0.6,Spike,1.0,0.5294358814,0.4850177610014874,0.05887176279999995,False
15.9,0.5900000000000001,Spike,1.0,0.5325390708000001,0.4833789609713424,0.06507814160000014,False
15.9,0.5800000000000001,Spike,1.0,0.5405469848000001,0.4817427634430584,0.08109396960000015,False
15.9,0.5700000000000001,Spike,1.0,0.5331892974,0.4801576037239291,0.06637859479999997,False
15.9,0.56,Spike,1.0,0.5305518188,0.4780354753919677,0.06110363760000004,False
15.9,0.55,Spike,1.0,0.5338635618,0.475556170560917,0.0677271236000001,False
15.9,0.54,Spike,0.031826,0.529097169,0.47390410016408946,0.05819433800000007,False
15.9,0.53,Spike,0.002244,0.5301599072,0.4709870858069061,0.060319814399999894,False
15.9,0.52,Spike,0.223862,0.5272654207999999,0.46696833819384503,0.05453084159999988,False
15.9,0.51,Spike,1.0,0.5301127925999999,0.4630852595543513,0.060225585199999765,False
15.9,0.5,Spike,1.0,0.5286103903999999,0.4594384479353393,0.057220780799999815,False
15.9,0.49,Spike,0.004404,0.5278868438000001,0.4547657609346392,0.05577368760000012,False
15.9,0.48,Spike,1.0,0.5269132874,0.4522779947836626,0.05382657479999997,False
15.9,0.47000000000000003,Spike,0.234191,0.5248877096,0.44689781539149376,0.04977541919999995,False
15.9,0.46,Spike,0.040204,0.5249235012,0.43908997788700094,0.04984700239999995,False
15.9,0.45,Spike,0.027616,0.5244156962,0.4328679265424743,0.048831392399999896,False
15.8,0.95,Spike,0.0,0.5384403515999999,0.4928208356198116,0.07688070319999984,False
15.8,0.94,Spike,1.0,0.9879084422,0.07953669417110693,0.9758168843999999,False
15.8,0.9299999999999999,Spike,1.0,0.987878757,0.07987341382510182,0.9757575140000001,False
15.8,0.92,Spike,1.0,0.98784691,0.08012559708847142,0.97569382,False
15.8,0.91,Spike,1.0,0.9878258814,0.08031661670929409,0.9756517628000001,False
15.8,0.9,Spike,1.0,0.9878145386,0.08045658098917081,0.9756290772,False
15.8,0.89,Spike,1.0,0.9878103546,0.08055534344216947,0.9756207092,False
15.8,0.88,Spike,1.0,0.9878114464000001,0.08062324503048596,0.9756228928000001,False
15.8,0.87,Spike,1.0,0.9878164187999999,0.08066959827471913,0.9756328375999999,False
15.8,0.8600000000000001,Spike,1.0,0.9878164925999999,0.08070290822676712,0.9756329851999999,False
15.8,0.8500000000000001,Spike,1.0,0.9877962818,0.08072239942834133,0.9755925636,False
15.8,0.8400000000000001,Spike,1.0,0.9877820552000001,0.08073681257404379,0.9755641104000001,False
15.8,0.8300000000000001,Spike,1.0,0.9877750908,0.08075762742415846,0.9755501816000001,False
15.8,0.8200000000000001,Spike,1.0,0.9877735280000001,0.08077634345294878,0.9755470560000001,False
15.8,0.81,Spike,1.0,0.9877759851999999,0.0807908882474066,0.9755519703999997,False
15.8,0.8,Spike,0.0,0.8290990300000002,0.3689593554743041,0.6581980600000004,False
15.8,0.79,Spike,0.0,0.693731491,0.4549021494468495,0.38746298199999996,False
15.8,0.78,Spike,0.0,0.5810585978,0.4877468871848202,0.16211719560000004,False
15.8,0.77,Spike,1.0,0.5607980852,0.49035670403067677,0.12159617039999993,False
15.8,0.76,Spike,1.0,0.6259601457999999,0.4777001437016625,0.25192029159999985,False
15.8,0.75,Spike,1.0,0.6826902064,0.45902976361216374,0.3653804128,False
15.8,0.74,Spike,0.0,0.5838519172000001,0.4868791431782207,0.16770383440000014,False
15.8,0.73,Spike,1.0,0.5614950806,0.4897201122203415,0.12299016119999995,False
15.8,0.72,Spike,0.0,0.6208280252,0.4784849966186497,0.24165605040000004,False
15.8,0.71,Spike,1.0,0.5333968071999999,0.49193253048363655,0.06679361439999987,False
15.8,0.7,Spike,0.0,0.5973738438,0.48327397361259505,0.19474768760000005,False
15.8,0.69,Spike,1.0,0.5471582812000001,0.4903050811356166,0.09431656240000019,False
15.8,0.68,Spike,0.0,0.5438029663999999,0.4904726620546694,0.08760593279999984,False
15.8,0.67,Spike,0.0,0.5553302254,0.4888756648059518,0.11066045079999998,False
15.8,0.66,Spike,0.0,0.5589676776,0.487767869976088,0.11793535519999998,False
15.8,0.65,Spike,0.0,0.5504385458000001,0.48822138097525536,0.10087709160000013,False
15.8,0.64,Spike,5.1e-05,0.5343201078,0.48901869292650285,0.06864021560000011,False
15.8,0.63,Spike,1.0,0.5424610936,0.4871618192681826,0.08492218720000011,False
15.8,0.62,Spike,0.0,0.5371515114,0.487151316091808,0.0743030227999999,False
15.8,0.61,Spike,0.0,0.5456401188,0.48493199136431736,0.09128023759999992,False
15.8,0.6,Spike,0.0,0.5431033652,0.48392556643305445,0.08620673040000004,False
15.8,0.5900000000000001,Spike,1e-06,0.535801667,0.483068371803923,0.07160333399999996,False
15.8,0.5800000000000001,Spike,1.0,0.5330821364,0.4815104470785253,0.06616427280000003,False
15.8,0.5700000000000001,Spike,0.003331,0.5310080486,0.47985745226060067,0.0620160971999999,False
15.8,0.56,Spike,0.014721,0.5299929164,0.4780067164863061,0.05998583280000003,False
15.8,0.55,Spike,1.0,0.5302570276,0.47523871939819706,0.06051405520000008,False
15.8,0.54,Spike,0.000507,0.5312357771999999,0.4733165562194729,0.06247155439999985,False
15.8,0.53,Spike,0.000291,0.531092426,0.46973072814565303,0.0621848519999999,False
15.8,0.52,Spike,0.255899,0.527141507,0.46641670665678564,0.05428301399999991,False
15.8,0.51,Spike,0.000213,0.530424939,0.46273857910387795,0.06084987799999997,False
15.8,0.5,Spike,1.0,0.5287733236,0.458285881571537,0.05754664719999991,False
15.8,0.49,Spike,0.01367,0.5271819186000001,0.45391437268306234,0.054363837200000154,False
15.8,0.48,Spike,1.0,0.528439401,0.4495131578580254,0.05687880199999995,False
15.8,0.47000000000000003,Spike,1.0,0.5251742904000001,0.44421564063422814,0.05034858080000015,False
15.8,0.46,Spike,0.004388,0.526159376,0.4397222763387385,0.05231875199999991,False
15.8,0.45,Spike,0.350146,0.5233854268,0.43515775248217897,0.046770853599999995,False
15.700000000000001,0.95,Spike,1.0,0.5594808067999999,0.49060029273961986,0.1189616135999998,False
15.700000000000001,0.94,Spike,0.0,0.911787358,0.2734526464996149,0.823574716,False
15.700000000000001,0.9299999999999999,Spike,1.0,0.9878796648,0.07985937959216945,0.9757593296,False
15.700000000000001,0.92,Spike,1.0,0.9878479414,0.08011261436926512,0.9756958828,False
15.700000000000001,0.91,Spike,1.0,0.987826944,0.08030451789412912,0.9756538880000001,False
15.700000000000001,0.9,Spike,1.0,0.9878155719999999,0.08044536199911495,0.9756311439999998,False
15.700000000000001,0.89,Spike,1.0,0.987811326,0.08054504287273052,0.975622652,False
15.700000000000001,0.88,Spike,1.0,0.9878123402000001,0.08061388243161473,0.9756246804000002,False
15.700000000000001,0.87,Spike,1.0,0.9878172304,0.08066115433067461,0.9756344608,False
15.700000000000001,0.8600000000000001,Spike,1.0,0.9878161755999999,0.08069572038898583,0.9756323511999998,False
15.700000000000001,0.8500000000000001,Spike,1.0,0.9877962842000001,0.08071706138173423,0.9755925684000002,False
